source,parent,term,leaf,name,definition,category,provenance,provenance_uri,note
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,automated,,Automated,Sample collected using an automated sampler.,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. ,,biota,,Biota,"A specimen consisting of all or part of a biological organism, including flora or fauna.",,,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,core,,Core,Long cylindrical cores,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreHalfRound,,Core half round,Half-cylindrical products of along-axis split of a whole round,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,corePiece,,Core piece,Material occurring between unambiguous [as curated] breaks in recovery.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreQuarterRound,,Core quarter round,Quarter-cylindrical products of along-axis split of a half round.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreSection,,Core section,"Arbitrarily cut segments of a ""core""",,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreSectionHalf,,Core section half,Half-cylindrical products of along-axis split of a section or its component fragments through a selected diameter.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreSub-Piece,,Core sub-piece,Unambiguously mated portion of a larger piece noted for curatorial management of the material.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,coreWholeRound,,Core whole round,Cylindrical segments of core or core section material.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,cuttings,,Cuttings,"Loose, coarse, unconsolidated material suspended in drilling fluid.",,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,dredge,,Dredge,A group of rocks collected by dragging a dredge along the seafloor.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,foliageDigestion,,Foliage digestion,Sample that consists of a digestion of plant foliage,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,foliageLeaching,,Foliage leaching,Sample that consists of leachate from foliage,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,forestFloorDigestion,,Forest floor digestion,Sample that consists of a digestion of forest floor material,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,grab,,Grab,"A sample (sometimes mechanically collected) from a deposit or area, not intended to be representative of the deposit or area.",,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,individualSample,,Individual sample,"A sample that is an individual unit, including rock hand samples, a biological specimen, or a bottle of fluid.",,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,litterFallDigestion,,Litter fall digestion,Sample that consists of a digestion of litter fall,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,orientedCore,,Oriented core,Core that can be positioned on the surface in the same way that it was arranged in the borehole before extraction.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,other,,Other,Sample does not fit any of the existing type designations. It is expected that further detailed description of the particular sample be provided.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,petriDishDryDeposition,,Petri dish (dry deposition),Sample from dry deposition in a petri dish,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,precipitationBulk,,Precipitation bulk,Sample from bulk precipitation,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,rockPowder,,Rock powder,A sample created from pulverizing a rock to powder.,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,standardReferenceSpecimen,,Standard reference specimen,Standard reference specimen,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,terrestrialSection,,Terrestrial section,"A sample of a section of the near-surface Earth, generally in the critical zone.",,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,
ODM2 Speciment Type. Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,theSpecimenTypeIsUnknown,,The specimen type is unknown,The specimen type is unknown,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,
ODM2 Speciment Type. ,,thinSection,,Thin section,Thin section,,,,
